SMILES,HOMO,LUMO,S1,S2
CC(C)(C)c1cccc(N2c3cc(-n4c5ccccc5c5ccccc54)cc4c3B(c3cc5nc(-c6ccc7ccccc7c6)n(-c6cccc(C(C)(C)C)c6)c5cc3N4c3cccc4c5ccccc5c5ccccc5c34)c3sc4ccccc4c32)c1,-4.812923431396484,-1.8586773872375488,2.2917332649230957,2.5888350009918213
CC(C)(C)c1ccc(N(c2ccc(C(C)(C)C)cc2)c2ccc3c(c2)B2c4c(cccc4N(c4ccc(C(C)(C)C)cc4)c4ccc5c(oc6ccccc65)c42)N3c2ccc(C(C)(C)C)cc2)cc1,-4.707840442657471,-1.4905452728271484,2.4948174953460693,2.9875645637512207
Cc1ccc2c(c1)B1c3sc4cc(N(c5ccccc5)c5ccccc5)ccc4c3N(c3cccc(C(C)(C)C)c3)c3cc(N(c4ccccc4)c4ccccc4)cc(c31)N2c1ccc2sc3ccccc3c2c1,-4.821990013122559,-1.535333275794983,2.409740924835205,2.8668367862701416
CC(C)(C)c1ccc(N2c3cc(N(c4cccc(-c5ccccc5)c4)c4cccc(-c5ccccc5)c4)ccc3B3c4sc5ccc(C(C)(C)C)cc5c4N(c4ccc(C(C)(C)C)cc4)c4cc(N(c5ccccc5)c5ccccc5)cc2c43)cc1,-4.841542720794678,-1.4668538570404053,2.570692300796509,2.9213900566101074
CC(C)(C)c1cccc(N2c3cc(N(c4ccccc4)c4ccccc4)cc4c3B(c3ccc(N(c5ccccc5)c5ccccc5)cc3N4c3cccc4oc5ccccc5c34)c3sc4ccc(C(C)(C)C)cc4c32)c1,-4.903318881988525,-1.4857549667358398,2.699690818786621,2.9876766204833984
CC(C)(C)c1cccc(N2c3cc(N(c4ccccc4)c4ccccc4)cc4c3B(c3ccc(N(c5ccccc5)c5ccccc5)cc3N4c3ccc4ccccc4c3)c3sc4ccc(C(C)(C)C)cc4c32)c1,-4.869842529296875,-1.5395351648330688,2.4715917110443115,2.8822970390319824
CC(C)(C)c1cccc(N2c3cc(N(c4ccccc4)c4ccccc4)cc4c3B(c3cc(C(C)(C)C)ccc3N4c3ccc4sc5ccccc5c4c3)c3sc4ccc(N(c5ccccc5)c5ccccc5)cc4c32)c1,-4.894662857055664,-1.5829198360443115,2.4514312744140625,2.8532159328460693
Cc1ccc2c(c1)B1c3sc4cc(N(c5ccccc5)c5ccccc5)ccc4c3N(c3cccc(C(C)(C)C)c3)c3cc(N(c4ccccc4)c4ccccc4)cc(c31)N2c1cccc2sc3ccccc3c12,-4.885003089904785,-1.5125693082809448,2.602832078933716,2.9349350929260254
c1ccc(-c2ccc(N(c3ccc(-c4ccccc4)cc3)c3cc4c5c(c3)B3c6cc(N(c7ccc(-c8ccccc8)cc7)c7ccc(-c8ccccc8)cc7)cc7c6N(CC7)c6cccc(c63)N5CC4)cc2)cc1,-4.8134236335754395,-1.6425398588180542,2.318375825881958,2.661203622817993
Cc1ccc2c(c1)B1c3sc4cc(N(c5ccccc5)c5ccccc5)ccc4c3N(c3cccc(C(C)(C)C)c3)c3cc(N(c4ccccc4)c4ccccc4)cc(c31)N2c1ccc2oc3ccccc3c2c1,-4.798182487487793,-1.5096592903137207,2.4498605728149414,2.866377353668213
CC(C)(C)c1cccc(N2c3cc(N(c4ccccc4)c4ccccc4)ccc3B3c4sc5cc(N(c6ccccc6)c6ccccc6)ccc5c4N(c4ccc5sc6ccccc6c5c4)c4cccc2c43)c1,-4.7980451583862305,-1.5551319122314453,2.3669161796569824,2.862541675567627
CC(C)(C)c1cccc(N2c3cc(-n4c5ccccc5c5ccccc54)cc4c3B(c3cc5nc(-c6ccc7ccccc7c6)n(-c6cccc(C(C)(C)C)c6)c5cc3N4c3cccc4sc5ccccc5c34)c3sc4ccccc4c32)c1,-4.93878173828125,-1.840706467628479,2.3475489616394043,2.725947856903076
